infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,pluperfect 1p-s,pluperfect 2p-s,pluperfect 3p-s,pluperfect 1p-p,pluperfect 2p-p,pluperfect 3p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past imperative 1p-s,past imperative 2p-s,past imperative 3p-s,past imperative 1p-p,past imperative 2p-p,past imperative 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,simple past 1p-s,simple past 2p-s,simple past 3p-s,simple past 1p-p,simple past 2p-p,simple past 3p-p,gerund
souiller,to soil,FALSE,souille,souilles,souille,souillons,souillez,souillent,ai souillé,as souillé,a souillé,avons souillé,avez souillé,ont souillé,souillais,souillais,souillait,souillions,souilliez,souillaient,souillerai,souilleras,souillera,souillerons,souillerez,souilleront,souillerais,souillerais,souillerait,souillerions,souilleriez,avais souillé,avais souillé,avait souillé,avions souillé,aviez souillé,avaient souillé,souilleraient,souille,souilles,souille,souillions,souilliez,souillent,aurais souillé,aurais souillé,aurait souillé,aurions souillé,auriez souillé,auraient souillé,aurai souillé,auras souillé,aura souillé,aurons souillé,aurez souillé,auront souillé,N/A,souille,N/A,souillons,souillez,N/A,aie souillé,aies souillé,ait souillé,ayons souillé,ayez souillé,aient souillé,souillasse,souillasses,souillât,souillassions,souillassiez,souillassent,eusse souillé,eusses souillé,eût souillé,eussions souillé,eussiez souillé,eussent souillé,N/A,aie souillé,N/A,ayons souillé,ayez souillé,N/A,eus souillé,eus souillé,eut souillé,eûmes souillé,eûtes souillé,eurent souillé,souillai,souillas,souilla,souillâmes,souillâtes,souillèrent,souillant
suffire,to suffice,FALSE,suffis,suffis,suffit,suffisons,suffisez,suffisent,ai suffi,as suffi,a suffi,avons suffi,avez suffi,ont suffi,suffisais,suffisais,suffisait,suffisions,suffisiez,suffisaient,suffirai,suffiras,suffira,suffirons,suffirez,suffiront,suffirais,suffirais,suffirait,suffirions,suffiriez,avais suffi,avais suffi,avait suffi,avions suffi,aviez suffi,avaient suffi,suffiraient,suffise,suffises,suffise,suffisions,suffisiez,suffisent,aurais suffi,aurais suffi,aurait suffi,aurions suffi,auriez suffi,auraient suffi,aurai suffi,auras suffi,aura suffi,aurons suffi,aurez suffi,auront suffi,N/A,suffis,N/A,suffisons,suffisez,N/A,aie suffi,aies suffi,ait suffi,ayons suffi,ayez suffi,aient suffi,suffisse,suffisses,suffît,suffissions,suffissiez,suffissent,eusse suffi,eusses suffi,eût suffi,eussions suffi,eussiez suffi,eussent suffi,N/A,aie suffi,N/A,ayons suffi,ayez suffi,N/A,eus suffi,eus suffi,eut suffi,eûmes suffi,eûtes suffi,eurent suffi,suffis,suffis,suffit,suffîmes,suffîtes,suffirent,suffisant
surprendre,to surprise,FALSE,surprends,surprends,surprend,surprenons,surprenez,surprennent,ai surpris,as surpris,a surpris,avons surpris,avez surpris,ont surpris,surprenais,surprenais,surprenait,surprenions,surpreniez,surprenaient,surprendrai,surprendras,surprendra,surprendrons,surprendrez,surprendront,surprendrais,surprendrais,surprendrait,surprendrions,surprendriez,avais surpris,avais surpris,avait surpris,avions surpris,aviez surpris,avaient surpris,surprendraient,surprenne,surprennes,surprenne,surprenions,surpreniez,surprennent,aurais surpris,aurais surpris,aurait surpris,aurions surpris,auriez surpris,auraient surpris,aurai surpris,auras surpris,aura surpris,aurons surpris,aurez surpris,auront surpris,N/A,surprends,N/A,surprenons,surprenez,N/A,aie surpris,aies surpris,ait surpris,ayons surpris,ayez surpris,aient surpris,surprisse,surprisses,surprît,surprissions,surprissiez,surprissent,eusse surpris,eusses surpris,eût surpris,eussions surpris,eussiez surpris,eussent surpris,N/A,aie surpris,N/A,ayons surpris,ayez surpris,N/A,eus surpris,eus surpris,eut surpris,eûmes surpris,eûtes surpris,eurent surpris,surpris,surpris,surprit,surprîmes,surprîtes,surprirent,surprenant
suivre,to follow,FALSE,suis,suis,suit,suivons,suivez,suivent,ai suivi,as suivi,a suivi,avons suivi,avez suivi,ont suivi,suivais,suivais,suivait,suivions,suiviez,suivaient,suivrai,suivras,suivra,suivrons,suivrez,suivront,suivrais,suivrais,suivrait,suivrions,suivriez,avais suivi,avais suivi,avait suivi,avions suivi,aviez suivi,avaient suivi,suivraient,suive,suives,suive,suivions,suiviez,suivent,aurais suivi,aurais suivi,aurait suivi,aurions suivi,auriez suivi,auraient suivi,aurai suivi,auras suivi,aura suivi,aurons suivi,aurez suivi,auront suivi,N/A,suis,N/A,suivons,suivez,N/A,aie suivi,aies suivi,ait suivi,ayons suivi,ayez suivi,aient suivi,suivisse,suivisses,suivît,suivissions,suivissiez,suivissent,eusse suivi,eusses suivi,eût suivi,eussions suivi,eussiez suivi,eussent suivi,N/A,aie suivi,N/A,ayons suivi,ayez suivi,N/A,eus suivi,eus suivi,eut suivi,eûmes suivi,eûtes suivi,eurent suivi,suivis,suivis,suivit,suivîmes,suivîtes,suivirent,suivant
sortir,to go out,FALSE,sors,sors,sort,sortons,sortez,sortent,ai sorti,as sorti,a sorti,avons sorti,avez sorti,ont sorti,sortais,sortais,sortait,sortions,sortiez,sortaient,sortirai,sortiras,sortira,sortirons,sortirez,sortiront,sortirais,sortirais,sortirait,sortirions,sortiriez,avais sorti,avais sorti,avait sorti,avions sorti,aviez sorti,avaient sorti,sortiraient,sorte,sortes,sorte,sortions,sortiez,sortent,aurais sorti,aurais sorti,aurait sorti,aurions sorti,auriez sorti,auraient sorti,aurai sorti,auras sorti,aura sorti,aurons sorti,aurez sorti,auront sorti,N/A,sors,N/A,sortons,sortez,N/A,aie sorti,aies sorti,ait sorti,ayons sorti,ayez sorti,aient sorti,sortisse,sortisses,sortît,sortissions,sortissiez,sortissent,eusse sorti,eusses sorti,eût sorti,eussions sorti,eussiez sorti,eussent sorti,N/A,aie sorti,N/A,ayons sorti,ayez sorti,N/A,eus sorti,eus sorti,eut sorti,eûmes sorti,eûtes sorti,eurent sorti,sortis,sortis,sortit,sortîmes,sortîtes,sortirent,sortant
soutenir,to support,FALSE,soutiens,soutiens,soutient,soutenons,soutenez,soutiennent,ai soutenu,as soutenu,a soutenu,avons soutenu,avez soutenu,ont soutenu,soutenais,soutenais,soutenait,soutenions,souteniez,soutenaient,soutiendrai,soutiendras,soutiendra,soutiendrons,soutiendrez,soutiendront,soutiendrais,soutiendrais,soutiendrait,soutiendrions,soutiendriez,avais soutenu,avais soutenu,avait soutenu,avions soutenu,aviez soutenu,avaient soutenu,soutiendraient,soutienne,soutiennes,soutienne,soutenions,souteniez,soutiennent,aurais soutenu,aurais soutenu,aurait soutenu,aurions soutenu,auriez soutenu,auraient soutenu,aurai soutenu,auras soutenu,aura soutenu,aurons soutenu,aurez soutenu,auront soutenu,N/A,soutiens,N/A,soutenons,soutenez,N/A,aie soutenu,aies soutenu,ait soutenu,ayons soutenu,ayez soutenu,aient soutenu,soutinsse,soutinsses,soutînt,soutinssions,soutinssiez,soutinssent,eusse soutenu,eusses soutenu,eût soutenu,eussions soutenu,eussiez soutenu,eussent soutenu,N/A,aie soutenu,N/A,ayons soutenu,ayez soutenu,N/A,eus soutenu,eus soutenu,eut soutenu,eûmes soutenu,eûtes soutenu,eurent soutenu,soutins,soutins,soutint,soutînmes,soutîntes,soutinrent,soutenant
souscrire,to subscribe,FALSE,souscris,souscris,souscrit,souscrivons,souscrivez,souscrivent,ai souscrit,as souscrit,a souscrit,avons souscrit,avez souscrit,ont souscrit,souscrivais,souscrivais,souscrivait,souscrivions,souscriviez,souscrivaient,souscrirai,souscriras,souscrira,souscrirons,souscrirez,souscriront,souscrirais,souscrirais,souscrirait,souscririons,souscririez,avais souscrit,avais souscrit,avait souscrit,avions souscrit,aviez souscrit,avaient souscrit,souscriraient,souscrive,souscrives,souscrive,souscrivions,souscriviez,souscrivent,aurais souscrit,aurais souscrit,aurait souscrit,aurions souscrit,auriez souscrit,auraient souscrit,aurai souscrit,auras souscrit,aura souscrit,aurons souscrit,aurez souscrit,auront souscrit,N/A,souscris,N/A,souscrivons,souscrivez,N/A,aie souscrit,aies souscrit,ait souscrit,ayons souscrit,ayez souscrit,aient souscrit,souscrivisse,souscrivisses,souscrivît,souscrivissions,souscrivissiez,souscrivissent,eusse souscrit,eusses souscrit,eût souscrit,eussions souscrit,eussiez souscrit,eussent souscrit,N/A,aie souscrit,N/A,ayons souscrit,ayez souscrit,N/A,eus souscrit,eus souscrit,eut souscrit,eûmes souscrit,eûtes souscrit,eurent souscrit,souscrivis,souscrivis,souscrivit,souscrivîmes,souscrivîtes,souscrivirent,souscrivant
subvenir,to provide for,FALSE,subviens,subviens,subvient,subvenons,subvenez,subviennent,ai subvenu,as subvenu,a subvenu,avons subvenu,avez subvenu,ont subvenu,subvenais,subvenais,subvenait,subvenions,subveniez,subvenaient,subviendrai,subviendras,subviendra,subviendrons,subviendrez,subviendront,subviendrais,subviendrais,subviendrait,subviendrions,subviendriez,avais subvenu,avais subvenu,avait subvenu,avions subvenu,aviez subvenu,avaient subvenu,subviendraient,subvienne,subviennes,subvienne,subvenions,subveniez,subviennent,aurais subvenu,aurais subvenu,aurait subvenu,aurions subvenu,auriez subvenu,auraient subvenu,aurai subvenu,auras subvenu,aura subvenu,aurons subvenu,aurez subvenu,auront subvenu,N/A,subviens,N/A,subvenons,subvenez,N/A,aie subvenu,aies subvenu,ait subvenu,ayons subvenu,ayez subvenu,aient subvenu,subvinsse,subvinsses,subvînt,subvinssions,subvinssiez,subvinssent,eusse subvenu,eusses subvenu,eût subvenu,eussions subvenu,eussiez subvenu,eussent subvenu,N/A,aie subvenu,N/A,ayons subvenu,ayez subvenu,N/A,eus subvenu,eus subvenu,eut subvenu,eûmes subvenu,eûtes subvenu,eurent subvenu,subvins,subvins,subvint,subvînmes,subvîntes,subvinrent,subvenant
suggérer,to suggest,FALSE,suggère,suggères,suggère,suggérons,suggérez,suggèrent,ai suggéré,as suggéré,a suggéré,avons suggéré,avez suggéré,ont suggéré,suggérais,suggérais,suggérait,suggérions,suggériez,suggéraient,suggèrerai;suggérerai,suggèreras;suggéreras,suggèrera;suggérera,suggèrerons;suggérerons,suggèrerez;suggérerez,suggèreront;suggéreront,suggèrerais;suggérerais,suggèrerais;suggérerais,suggèrerait;suggérerait,suggèrerions;suggérerions,suggèreriez;suggéreriez,avais suggéré,avais suggéré,avait suggéré,avions suggéré,aviez suggéré,avaient suggéré,suggèreraient;suggéreraient,suggère,suggères,suggère,suggérions,suggériez,suggèrent,aurais suggéré,aurais suggéré,aurait suggéré,aurions suggéré,auriez suggéré,auraient suggéré,aurai suggéré,auras suggéré,aura suggéré,aurons suggéré,aurez suggéré,auront suggéré,N/A,suggère,N/A,suggérons,suggérez,N/A,aie suggéré,aies suggéré,ait suggéré,ayons suggéré,ayez suggéré,aient suggéré,suggérasse,suggérasses,suggérât,suggérassions,suggérassiez,suggérassent,eusse suggéré,eusses suggéré,eût suggéré,eussions suggéré,eussiez suggéré,eussent suggéré,N/A,aie suggéré,N/A,ayons suggéré,ayez suggéré,N/A,eus suggéré,eus suggéré,eut suggéré,eûmes suggéré,eûtes suggéré,eurent suggéré,suggérai,suggéras,suggéra,suggérâmes,suggérâtes,suggérèrent,suggérant
survivre,to survive,FALSE,survis,survis,survit,survivons,survivez,survivent,ai survécu,as survécu,a survécu,avons survécu,avez survécu,ont survécu,survivais,survivais,survivait,survivions,surviviez,survivaient,survivrai,survivras,survivra,survivrons,survivrez,survivront,survivrais,survivrais,survivrait,survivrions,survivriez,avais survécu,avais survécu,avait survécu,avions survécu,aviez survécu,avaient survécu,survivraient,survive,survives,survive,survivions,surviviez,survivent,aurais survécu,aurais survécu,aurait survécu,aurions survécu,auriez survécu,auraient survécu,aurai survécu,auras survécu,aura survécu,aurons survécu,aurez survécu,auront survécu,N/A,survis,N/A,survivons,survivez,N/A,aie survécu,aies survécu,ait survécu,ayons survécu,ayez survécu,aient survécu,survécusse,survécusses,survécût,survécussions,survécussiez,survécussent,eusse survécu,eusses survécu,eût survécu,eussions survécu,eussiez survécu,eussent survécu,N/A,aie survécu,N/A,ayons survécu,ayez survécu,N/A,eus survécu,eus survécu,eut survécu,eûmes survécu,eûtes survécu,eurent survécu,survécus,survécus,survécut,survécûmes,survécûtes,survécurent,survivant
succomber,to succumb,FALSE,succombe,succombes,succombe,succombons,succombez,succombent,ai succombé,as succombé,a succombé,avons succombé,avez succombé,ont succombé,succombais,succombais,succombait,succombions,succombiez,succombaient,succomberai,succomberas,succombera,succomberons,succomberez,succomberont,succomberais,succomberais,succomberait,succomberions,succomberiez,avais succombé,avais succombé,avait succombé,avions succombé,aviez succombé,avaient succombé,succomberaient,succombe,succombes,succombe,succombions,succombiez,succombent,aurais succombé,aurais succombé,aurait succombé,aurions succombé,auriez succombé,auraient succombé,aurai succombé,auras succombé,aura succombé,aurons succombé,aurez succombé,auront succombé,N/A,succombe,N/A,succombons,succombez,N/A,aie succombé,aies succombé,ait succombé,ayons succombé,ayez succombé,aient succombé,succombasse,succombasses,succombât,succombassions,succombassiez,succombassent,eusse succombé,eusses succombé,eût succombé,eussions succombé,eussiez succombé,eussent succombé,N/A,aie succombé,N/A,ayons succombé,ayez succombé,N/A,eus succombé,eus succombé,eut succombé,eûmes succombé,eûtes succombé,eurent succombé,succombai,succombas,succomba,succombâmes,succombâtes,succombèrent,succombant
toquer,to knock,FALSE,toque,toques,toque,toquons,toquez,toquent,ai toqué,as toqué,a toqué,avons toqué,avez toqué,ont toqué,toquais,toquais,toquait,toquions,toquiez,toquaient,toquerai,toqueras,toquera,toquerons,toquerez,toqueront,toquerais,toquerais,toquerait,toquerions,toqueriez,avais toqué,avais toqué,avait toqué,avions toqué,aviez toqué,avaient toqué,toqueraient,toque,toques,toque,toquions,toquiez,toquent,aurais toqué,aurais toqué,aurait toqué,aurions toqué,auriez toqué,auraient toqué,aurai toqué,auras toqué,aura toqué,aurons toqué,aurez toqué,auront toqué,N/A,toque,N/A,toquons,toquez,N/A,aie toqué,aies toqué,ait toqué,ayons toqué,ayez toqué,aient toqué,toquasse,toquasses,toquât,toquassions,toquassiez,toquassent,eusse toqué,eusses toqué,eût toqué,eussions toqué,eussiez toqué,eussent toqué,N/A,aie toqué,N/A,ayons toqué,ayez toqué,N/A,eus toqué,eus toqué,eut toqué,eûmes toqué,eûtes toqué,eurent toqué,toquai,toquas,toqua,toquâmes,toquâtes,toquèrent,toquant
survoler,to fly over,FALSE,survole,survoles,survole,survolons,survolez,survolent,ai survolé,as survolé,a survolé,avons survolé,avez survolé,ont survolé,survolais,survolais,survolait,survolions,survoliez,survolaient,survolerai,survoleras,survolera,survolerons,survolerez,survoleront,survolerais,survolerais,survolerait,survolerions,survoleriez,avais survolé,avais survolé,avait survolé,avions survolé,aviez survolé,avaient survolé,survoleraient,survole,survoles,survole,survolions,survoliez,survolent,aurais survolé,aurais survolé,aurait survolé,aurions survolé,auriez survolé,auraient survolé,aurai survolé,auras survolé,aura survolé,aurons survolé,aurez survolé,auront survolé,N/A,survole,N/A,survolons,survolez,N/A,aie survolé,aies survolé,ait survolé,ayons survolé,ayez survolé,aient survolé,survolasse,survolasses,survolât,survolassions,survolassiez,survolassent,eusse survolé,eusses survolé,eût survolé,eussions survolé,eussiez survolé,eussent survolé,N/A,aie survolé,N/A,ayons survolé,ayez survolé,N/A,eus survolé,eus survolé,eut survolé,eûmes survolé,eûtes survolé,eurent survolé,survolai,survolas,survola,survolâmes,survolâtes,survolèrent,survolant
toucher,to affect,FALSE,touche,touches,touche,touchons,touchez,touchent,ai touché,as touché,a touché,avons touché,avez touché,ont touché,touchais,touchais,touchait,touchions,touchiez,touchaient,toucherai,toucheras,touchera,toucherons,toucherez,toucheront,toucherais,toucherais,toucherait,toucherions,toucheriez,avais touché,avais touché,avait touché,avions touché,aviez touché,avaient touché,toucheraient,touche,touches,touche,touchions,touchiez,touchent,aurais touché,aurais touché,aurait touché,aurions touché,auriez touché,auraient touché,aurai touché,auras touché,aura touché,aurons touché,aurez touché,auront touché,N/A,touche,N/A,touchons,touchez,N/A,aie touché,aies touché,ait touché,ayons touché,ayez touché,aient touché,touchasse,touchasses,touchât,touchassions,touchassiez,touchassent,eusse touché,eusses touché,eût touché,eussions touché,eussiez touché,eussent touché,N/A,aie touché,N/A,ayons touché,ayez touché,N/A,eus touché,eus touché,eut touché,eûmes touché,eûtes touché,eurent touché,touchai,touchas,toucha,touchâmes,touchâtes,touchèrent,touchant
traiter,to treat/to negotiate,FALSE,traite,traites,traite,traitons,traitez,traitent,ai traité,as traité,a traité,avons traité,avez traité,ont traité,traitais,traitais,traitait,traitions,traitiez,traitaient,traiterai,traiteras,traitera,traiterons,traiterez,traiteront,traiterais,traiterais,traiterait,traiterions,traiteriez,avais traité,avais traité,avait traité,avions traité,aviez traité,avaient traité,traiteraient,traite,traites,traite,traitions,traitiez,traitent,aurais traité,aurais traité,aurait traité,aurions traité,auriez traité,auraient traité,aurai traité,auras traité,aura traité,aurons traité,aurez traité,auront traité,N/A,traite,N/A,traitons,traitez,N/A,aie traité,aies traité,ait traité,ayons traité,ayez traité,aient traité,traitasse,traitasses,traitât,traitassions,traitassiez,traitassent,eusse traité,eusses traité,eût traité,eussions traité,eussiez traité,eussent traité,N/A,aie traité,N/A,ayons traité,ayez traité,N/A,eus traité,eus traité,eut traité,eûmes traité,eûtes traité,eurent traité,traitai,traitas,traita,traitâmes,traitâtes,traitèrent,traitant
tourner,to turn,FALSE,tourne,tournes,tourne,tournons,tournez,tournent,ai tourné,as tourné,a tourné,avons tourné,avez tourné,ont tourné,tournais,tournais,tournait,tournions,tourniez,tournaient,tournerai,tourneras,tournera,tournerons,tournerez,tourneront,tournerais,tournerais,tournerait,tournerions,tourneriez,avais tourné,avais tourné,avait tourné,avions tourné,aviez tourné,avaient tourné,tourneraient,tourne,tournes,tourne,tournions,tourniez,tournent,aurais tourné,aurais tourné,aurait tourné,aurions tourné,auriez tourné,auraient tourné,aurai tourné,auras tourné,aura tourné,aurons tourné,aurez tourné,auront tourné,N/A,tourne,N/A,tournons,tournez,N/A,aie tourné,aies tourné,ait tourné,ayons tourné,ayez tourné,aient tourné,tournasse,tournasses,tournât,tournassions,tournassiez,tournassent,eusse tourné,eusses tourné,eût tourné,eussions tourné,eussiez tourné,eussent tourné,N/A,aie tourné,N/A,ayons tourné,ayez tourné,N/A,eus tourné,eus tourné,eut tourné,eûmes tourné,eûtes tourné,eurent tourné,tournai,tournas,tourna,tournâmes,tournâtes,tournèrent,tournant
tousser,to cough,FALSE,tousse,tousses,tousse,toussons,toussez,toussent,ai toussé,as toussé,a toussé,avons toussé,avez toussé,ont toussé,toussais,toussais,toussait,toussions,toussiez,toussaient,tousserai,tousseras,toussera,tousserons,tousserez,tousseront,tousserais,tousserais,tousserait,tousserions,tousseriez,avais toussé,avais toussé,avait toussé,avions toussé,aviez toussé,avaient toussé,tousseraient,tousse,tousses,tousse,toussions,toussiez,toussent,aurais toussé,aurais toussé,aurait toussé,aurions toussé,auriez toussé,auraient toussé,aurai toussé,auras toussé,aura toussé,aurons toussé,aurez toussé,auront toussé,N/A,tousse,N/A,toussons,toussez,N/A,aie toussé,aies toussé,ait toussé,ayons toussé,ayez toussé,aient toussé,toussasse,toussasses,toussât,toussassions,toussassiez,toussassent,eusse toussé,eusses toussé,eût toussé,eussions toussé,eussiez toussé,eussent toussé,N/A,aie toussé,N/A,ayons toussé,ayez toussé,N/A,eus toussé,eus toussé,eut toussé,eûmes toussé,eûtes toussé,eurent toussé,toussai,toussas,toussa,toussâmes,toussâtes,toussèrent,toussant
tirer,to pull,FALSE,tire,tires,tire,tirons,tirez,tirent,ai tiré,as tiré,a tiré,avons tiré,avez tiré,ont tiré,tirais,tirais,tirait,tirions,tiriez,tiraient,tirerai,tireras,tirera,tirerons,tirerez,tireront,tirerais,tirerais,tirerait,tirerions,tireriez,avais tiré,avais tiré,avait tiré,avions tiré,aviez tiré,avaient tiré,tireraient,tire,tires,tire,tirions,tiriez,tirent,aurais tiré,aurais tiré,aurait tiré,aurions tiré,auriez tiré,auraient tiré,aurai tiré,auras tiré,aura tiré,aurons tiré,aurez tiré,auront tiré,N/A,tire,N/A,tirons,tirez,N/A,aie tiré,aies tiré,ait tiré,ayons tiré,ayez tiré,aient tiré,tirasse,tirasses,tirât,tirassions,tirassiez,tirassent,eusse tiré,eusses tiré,eût tiré,eussions tiré,eussiez tiré,eussent tiré,N/A,aie tiré,N/A,ayons tiré,ayez tiré,N/A,eus tiré,eus tiré,eut tiré,eûmes tiré,eûtes tiré,eurent tiré,tirai,tiras,tira,tirâmes,tirâtes,tirèrent,tirant
tordre,to twist,TRUE,tords,tords,tord,tordons,tordez,tordent,ai tordu,as tordu,a tordu,avons tordu,avez tordu,ont tordu,tordais,tordais,tordait,tordions,tordiez,tordaient,tordrai,tordras,tordra,tordrons,tordrez,tordront,tordrais,tordrais,tordrait,tordrions,tordriez,avais tordu,avais tordu,avait tordu,avions tordu,aviez tordu,avaient tordu,tordraient,torde,tordes,torde,tordions,tordiez,tordent,aurais tordu,aurais tordu,aurait tordu,aurions tordu,auriez tordu,auraient tordu,aurai tordu,auras tordu,aura tordu,aurons tordu,aurez tordu,auront tordu,N/A,tords,N/A,tordons,tordez,N/A,aie tordu,aies tordu,ait tordu,ayons tordu,ayez tordu,aient tordu,tordisse,tordisses,tordît,tordissions,tordissiez,tordissent,eusse tordu,eusses tordu,eût tordu,eussions tordu,eussiez tordu,eussent tordu,N/A,aie tordu,N/A,ayons tordu,ayez tordu,N/A,eus tordu,eus tordu,eut tordu,eûmes tordu,eûtes tordu,eurent tordu,tordis,tordis,tordit,tordîmes,tordîtes,tordirent,tordant
tendre,to strain/strive,TRUE,tends,tends,tend,tendons,tendez,tendent,ai tendu,as tendu,a tendu,avons tendu,avez tendu,ont tendu,tendais,tendais,tendait,tendions,tendiez,tendaient,tendrai,tendras,tendra,tendrons,tendrez,tendront,tendrais,tendrais,tendrait,tendrions,tendriez,avais tendu,avais tendu,avait tendu,avions tendu,aviez tendu,avaient tendu,tendraient,tende,tendes,tende,tendions,tendiez,tendent,aurais tendu,aurais tendu,aurait tendu,aurions tendu,auriez tendu,auraient tendu,aurai tendu,auras tendu,aura tendu,aurons tendu,aurez tendu,auront tendu,N/A,tends,N/A,tendons,tendez,N/A,aie tendu,aies tendu,ait tendu,ayons tendu,ayez tendu,aient tendu,tendisse,tendisses,tendît,tendissions,tendissiez,tendissent,eusse tendu,eusses tendu,eût tendu,eussions tendu,eussiez tendu,eussent tendu,N/A,aie tendu,N/A,ayons tendu,ayez tendu,N/A,eus tendu,eus tendu,eut tendu,eûmes tendu,eûtes tendu,eurent tendu,tendis,tendis,tendit,tendîmes,tendîtes,tendirent,tendant
tenter,to try/to tempt,FALSE,tente,tentes,tente,tentons,tentez,tentent,ai tenté,as tenté,a tenté,avons tenté,avez tenté,ont tenté,tentais,tentais,tentait,tentions,tentiez,tentaient,tenterai,tenteras,tentera,tenterons,tenterez,tenteront,tenterais,tenterais,tenterait,tenterions,tenteriez,avais tenté,avais tenté,avait tenté,avions tenté,aviez tenté,avaient tenté,tenteraient,tente,tentes,tente,tentions,tentiez,tentent,aurais tenté,aurais tenté,aurait tenté,aurions tenté,auriez tenté,auraient tenté,aurai tenté,auras tenté,aura tenté,aurons tenté,aurez tenté,auront tenté,N/A,tente,N/A,tentons,tentez,N/A,aie tenté,aies tenté,ait tenté,ayons tenté,ayez tenté,aient tenté,tentasse,tentasses,tentât,tentassions,tentassiez,tentassent,eusse tenté,eusses tenté,eût tenté,eussions tenté,eussiez tenté,eussent tenté,N/A,aie tenté,N/A,ayons tenté,ayez tenté,N/A,eus tenté,eus tenté,eut tenté,eûmes tenté,eûtes tenté,eurent tenté,tentai,tentas,tenta,tentâmes,tentâtes,tentèrent,tentant
tracer,to draw,FALSE,trace,traces,trace,traçons,tracez,tracent,ai tracé,as tracé,a tracé,avons tracé,avez tracé,ont tracé,traçais,traçais,traçait,tracions,traciez,traçaient,tracerai,traceras,tracera,tracerons,tracerez,traceront,tracerais,tracerais,tracerait,tracerions,traceriez,avais tracé,avais tracé,avait tracé,avions tracé,aviez tracé,avaient tracé,traceraient,trace,traces,trace,tracions,traciez,tracent,aurais tracé,aurais tracé,aurait tracé,aurions tracé,auriez tracé,auraient tracé,aurai tracé,auras tracé,aura tracé,aurons tracé,aurez tracé,auront tracé,N/A,trace,N/A,traçons,tracez,N/A,aie tracé,aies tracé,ait tracé,ayons tracé,ayez tracé,aient tracé,traçasse,traçasses,traçât,traçassions,traçassiez,traçassent,eusse tracé,eusses tracé,eût tracé,eussions tracé,eussiez tracé,eussent tracé,N/A,aie tracé,N/A,ayons tracé,ayez tracé,N/A,eus tracé,eus tracé,eut tracé,eûmes tracé,eûtes tracé,eurent tracé,traçai,traças,traça,traçâmes,traçâtes,tracèrent,traçant
tenir,to hold,TRUE,tiens,tiens,tient,tenons,tenez,tiennent,ai tenu,as tenu,a tenu,avons tenu,avez tenu,ont tenu,tenais,tenais,tenait,tenions,teniez,tenaient,tiendrai,tiendras,tiendra,tiendrons,tiendrez,tiendront,tiendrais,tiendrais,tiendrait,tiendrions,tiendriez,avais tenu,avais tenu,avait tenu,avions tenu,aviez tenu,avaient tenu,tiendraient,tienne,tiennes,tienne,tenions,teniez,tiennent,aurais tenu,aurais tenu,aurait tenu,aurions tenu,auriez tenu,auraient tenu,aurai tenu,auras tenu,aura tenu,aurons tenu,aurez tenu,auront tenu,N/A,tiens,N/A,tenons,tenez,N/A,aie tenu,aies tenu,ait tenu,ayons tenu,ayez tenu,aient tenu,tinsse,tinsses,tînt,tinssions,tinssiez,tinssent,eusse tenu,eusses tenu,eût tenu,eussions tenu,eussiez tenu,eussent tenu,N/A,aie tenu,N/A,ayons tenu,ayez tenu,N/A,eus tenu,eus tenu,eut tenu,eûmes tenu,eûtes tenu,eurent tenu,tins,tins,tint,tînmes,tîntes,tinrent,tenant
